<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.SBER:SMAL,1,20230103,103100,144.6900000,144.6900000,144.6900000,144.6900000,1
MOEX.SBER:SMAL,1,20230103,103300,144.6900000,144.6900000,144.6400000,144.6400000,2
MOEX.SBER:SMAL,1,20230103,103600,144.4900000,144.4900000,144.4900000,144.4900000,1
MOEX.SBER:SMAL,1,20230103,105900,140.2500000,140.2500000,140.2500000,140.2500000,3
MOEX.SBER:SMAL,1,20230103,110200,140.2500000,140.2500000,140.2500000,140.2500000,2
MOEX.SBER:SMAL,1,20230103,113300,144.1300000,144.1300000,144.1300000,144.1300000,6
MOEX.SBER:SMAL,1,20230103,125500,141.0300000,141.0300000,141.0300000,141.0300000,6
MOEX.SBER:SMAL,1,20230103,131600,141.0300000,141.0300000,140.7500000,140.7500000,8
MOEX.SBER:SMAL,1,20230103,134500,141.0100000,141.0100000,141.0100000,141.0100000,4
MOEX.SBER:SMAL,1,20230103,181400,141.0900000,141.0900000,140.1800000,140.1800000,86
MOEX.SBER:SMAL,1,20230104,143300,140.0100000,140.0100000,140.0100000,140.0100000,2
MOEX.SBER:SMAL,1,20230104,174900,140.2500000,140.2500000,140.2500000,140.2500000,2
MOEX.SBER:SMAL,1,20230104,183300,140.2700000,140.2700000,140.1600000,140.1600000,68
MOEX.SBER:SMAL,1,20230105,141000,140.1000000,140.1000000,140.1000000,140.1000000,4
MOEX.SBER:SMAL,1,20230105,163300,141.1500000,141.1500000,141.1500000,141.1500000,7
MOEX.SBER:SMAL,1,20230105,164800,140.2400000,140.2400000,140.1200000,140.1200000,7
MOEX.SBER:SMAL,1,20230105,165100,140.2400000,140.2400000,140.2300000,140.2300000,2
MOEX.SBER:SMAL,1,20230105,174700,140.4600000,140.4600000,140.0800000,140.0800000,74
MOEX.SBER:SMAL,1,20230106,170500,140.2200000,140.2200000,140.2200000,140.2200000,9
MOEX.SBER:SMAL,1,20230106,171000,140.0000000,140.0000000,140.0000000,140.0000000,23
MOEX.SBER:SMAL,1,20230106,192600,140.2800000,140.2800000,140.2800000,140.2800000,2
MOEX.SBER:SMAL,1,20230109,100900,143.4000000,143.4000000,143.4000000,143.4000000,9
MOEX.SBER:SMAL,1,20230109,105700,140.8100000,140.8100000,140.8100000,140.8100000,6
MOEX.SBER:SMAL,1,20230109,134600,143.2100000,143.2200000,143.2100000,143.2200000,3
MOEX.SBER:SMAL,1,20230109,140300,143.2100000,143.2100000,143.2100000,143.2100000,2
MOEX.SBER:SMAL,1,20230109,164100,141.0700000,141.0700000,141.0700000,141.0700000,4
MOEX.SBER:SMAL,1,20230109,182200,141.2900000,141.2900000,141.0500000,141.0500000,131
MOEX.SBER:SMAL,1,20230109,184000,141.1000000,141.1000000,141.1000000,141.1000000,6
MOEX.SBER:SMAL,1,20230110,112800,140.7600000,140.7600000,140.7600000,140.7600000,2
MOEX.SBER:SMAL,1,20230110,142300,140.8300000,140.8300000,140.8300000,140.8300000,1
MOEX.SBER:SMAL,1,20230110,173800,142.9500000,142.9500000,142.9500000,142.9500000,1
